den;datum;orp_kod;orp_nazev;incidence_7;incidence_65_7;incidence_75_7;prevalence;prevalence_65;prevalence_75;aktualni_pocet_hospitalizovanych_osob;nove_hosp_7;testy_7
neděle;2020-03-01;8014;Krnov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;8015;Nový Jičín;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;3209;Plzeň;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;8016;Odry;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;8017;Opava;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;8021;Třinec;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;8018;Orlová;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;3212;Stod;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;8022;Vítkov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;8019;Ostrava;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;3213;Stříbro;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;3214;Sušice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;3215;Tachov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4101;Aš;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4102;Cheb;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4103;Karlovy Vary;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4104;Kraslice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4105;Mariánské Lázně;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4106;Ostrov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4107;Sokolov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4201;Bílina;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4202;Děčín;1;0;0;1;0;0;0;0;0
neděle;2020-03-01;4203;Chomutov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4204;Kadaň;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4205;Litoměřice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4206;Litvínov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4207;Louny;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4208;Lovosice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4209;Most;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4210;Podbořany;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4211;Roudnice nad Labem;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4212;Rumburk;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4213;Teplice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4214;Ústí nad Labem;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4215;Varnsdorf;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;4216;Žatec;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5101;Česká Lípa;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5102;Frýdlant;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5103;Jablonec nad Nisou;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5104;Jilemnice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5105;Liberec;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5106;Nový Bor;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5107;Semily;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5108;Tanvald;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5109;Turnov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5110;Železný Brod;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5201;Broumov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5202;Dobruška;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5203;Dvůr Králové nad Labem;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5204;Hořice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5205;Hradec Králové;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5206;Jaroměř;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;8020;Rýmařov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;3210;Přeštice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6401;Blansko;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5207;Jičín;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5208;Kostelec nad Orlicí;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6402;Boskovice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6403;Brno;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6404;Břeclav;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5210;Nová Paka;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6405;Bučovice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5209;Náchod;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5211;Nové Město nad Metují;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5212;Nový Bydžov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6407;Hustopeče;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6406;Hodonín;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5213;Rychnov nad Kněžnou;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6408;Ivančice;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5214;Trutnov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6409;Kuřim;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5215;Vrchlabí;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6410;Kyjov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5301;Česká Třebová;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;6411;Mikulov;0;0;0;0;0;0;0;0;0
neděle;2020-03-01;5302;Hlinsko;0;0;0;0;0;0;0;0;0
